,collectionsURL,unitCode,EDANurl,title,creditLine,date,identifier,name,notes,objectType,physicalDescription,place,publisher,topic,indexed_dates,indexed_names,indexed_object_types,indexed_places,indexed_topics,mediaCount,mediaURLs,thumbnail,Sitter,Artist,Clean_Date,Gender,Occupation
0,https://collections.si.edu/search/detail/edanmdm:saam_XX108A,SAAM,edanmdm:saam_XX108A,George Washington,"{""Credit Line"": ""Smithsonian American Art Museum, Transfer from the U.S. Department of the Interior through the General Services Administration""}","{""Date"": ""1803?""}","{""Object number"": ""XX108A""}","{""Attributed to"": ""William Winstanley, born England, active 1775-1806"", ""Sitter"": ""George Washington""}",,"{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""30 1/2 x 25 1/4 in. (77.4 x 64.2 cm.)""}",,,"{""Topic"": ""Occupation\\political\\president\nPortrait male""}","[""1800s""]","[""Washington, George"", ""Winstanley, William""]","[""Paintings""]",,"[""Occupations"", ""Men"", ""Portraits"", ""Political"", ""Presidents""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-XX108A_1""]","https://ids.si.edu/ids/iiif/SAAM-XX108A_1/full/250,/0/default.jpg",George Washington,William Winstanley,1803,Men,
1,https://collections.si.edu/search/detail/edanmdm:saam_2024.24,SAAM,edanmdm:saam_2024.24,Portrait of Thayendanegea (Joseph Brant),"{""Credit Line"": ""Smithsonian American Art Museum, Gift of the Dorothy Tapper Goldman Foundation""}","{""Date"": ""after 1797""}","{""Object number"": ""2024.24""}","{""Artist"": ""Unidentified"", ""Copy after"": ""Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827"", ""Sitter"": ""Portrait male""}",,"{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""38 1/2 \u00d7 33 1/2 \u00d7 3 5/8 in. (97.8 \u00d7 85.1 \u00d7 9.2 cm)""}",,,"{""Topic"": ""Portrait male""}","[""1790s""]","[""Peale, Charles Willson"", ""Portrait male""]","[""Paintings""]",,"[""Men"", ""Portraits""]",0,,,Portrait male,Unidentified,1797,Men,
2,https://collections.si.edu/search/detail/edanmdm:saam_2019.6.12,SAAM,edanmdm:saam_2019.6.12,The Davis Children (Eliza Cheever Davis and John Derby Davis),"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Ralph and Bobbi Terkowitz""}","{""Date"": ""1795""}","{""Object number"": ""2019.6.12""}","{""Artist"": ""Edward Savage, born Princeton, MA 1761-died Princeton, MA 1817"", ""Sitter"": ""Eliza Cheever Davis\nJohn Derby Davis""}",,"{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""48 1/2 x 38 1/2 in.""}",,,"{""Topic"": ""Landscape\nObject\\flower\\lily\nPortrait female\\child\nPortrait male\\child""}","[""1790s""]","[""Savage, Edward"", ""Davis, Eliza Cheever"", ""Davis, John Derby""]","[""Paintings""]",,"[""Women"", ""Landscapes"", ""Men"", ""Portraits"", ""Flowers"", ""Children"", ""Lily""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2019.6.12_1""]","https://ids.si.edu/ids/iiif/SAAM-2019.6.12_1/full/250,/0/default.jpg",Eliza Cheever Davis\nJohn Derby Davis,Edward Savage,1795,Women,
3,https://collections.si.edu/search/detail/edanmdm:saam_2014.29.1,SAAM,edanmdm:saam_2014.29.1,Thomas Jefferson Presidential Inaugural Medal,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of the James F. Dicke Family""}","{""Date"": ""1801""}","{""Object number"": ""2014.29.1""}","{""Engraver"": ""John Reich, born Furth, Germany 1768-died Albany, NY 1833"", ""Sitter"": ""Thomas Jefferson""}",,"{""Type"": ""Sculpture-Medal""}","{""Medium"": ""silver"", ""Dimensions"": ""1 3/4 in. (4.6 cm) diam.""}",,,"{""Topic"": ""Portrait male\\bust\nOccupation\\political\\president""}","[""1800s""]","[""Jefferson, Thomas"", ""Reich, John""]","[""Sculpture""]",,"[""Occupations"", ""Men"", ""Portraits"", ""Political"", ""Presidents""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2014.29.1_1""]","https://ids.si.edu/ids/iiif/SAAM-2014.29.1_1/full/250,/0/default.jpg",Thomas Jefferson,John Reich,1801,Men,
4,https://collections.si.edu/search/detail/edanmdm:saam_2012.21,SAAM,edanmdm:saam_2012.21,Portrait of a Gentleman,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Margaret Brennan""}","{""Date"": ""1793""}","{""Object number"": ""2012.21""}","{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""unidentified""}","{""Luce Center Label"": ""Although the identity of the sitter is unknown, clues within James Peale's miniature reveal his social standing. The white cravat around his neck, fashionable among wealthy men in the late eighteenth century, indicates that he was interested in the latest clothing trends. The man's confident gaze meets our own, telling us that he is assured of his place in society. The exquisite detail, seen in the irises of his eyes and the embroidery on his shirt, all rendered with thin, delicate brushstrokes, demonstrates Peale's mastery of the medium.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""2 3/8 in. x 2 in. x 1/2 in. (5.9 x 5.1 x 1.4 cm)""}",,,"{""Topic"": ""Portrait male\\bust""}","[""1790s""]","[""Peale, James""]","[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2012.21_1""]","https://ids.si.edu/ids/iiif/SAAM-2012.21_1/full/250,/0/default.jpg",unidentified,James Peale,1793,Men,
5,https://collections.si.edu/search/detail/edanmdm:saam_2010.16.2,SAAM,edanmdm:saam_2010.16.2,John Swanwick,"{""Credit Line"": ""Smithsonian American Art Museum, Transfer from the National Museum of American History, Smithsonian Institution""}","{""Date"": ""ca. 1800""}","{""Object number"": ""2010.16.2""}","{""Artist"": ""Matthew Pratt, born Philadelphia, PA 1734-died Philadelphia, PA 1805"", ""Sitter"": ""John Swanwick""}",,"{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""35 3/4 x 30 7/8 in. (90.8 x 78.4 cm)""}",,,"{""Topic"": ""Object\\written matter\\book\nPortrait male\\waist length""}","[""1800s"", ""1790s""]","[""Pratt, Matthew"", ""Swanwick, John""]","[""Paintings""]",,"[""Books and reading"", ""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.2_1""]","https://ids.si.edu/ids/iiif/SAAM-2010.16.2_1/full/250,/0/default.jpg",John Swanwick,Matthew Pratt,1800,Men,
6,https://collections.si.edu/search/detail/edanmdm:saam_2010.16.1,SAAM,edanmdm:saam_2010.16.1,Joseph Ball,"{""Credit Line"": ""Smithsonian American Art Museum, Transfer from the National Museum of American History, Smithsonian Institution""}","{""Date"": ""1798 -1805""}","{""Object number"": ""2010.16.1""}","{""Artist"": ""Christian Gullager, born Copenhagen, Denmark 1759-died Philadelphia, PA 1826"", ""Sitter"": ""Joseph Ball""}",,"{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""44 x 35 1/2 in. (111.8 x 90.2 cm)""}",,,"{""Topic"": ""Portrait male\\waist length""}","[""1800s"", ""1790s""]","[""Ball, Joseph"", ""Gullager, Christian""]","[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.1_1""]","https://ids.si.edu/ids/iiif/SAAM-2010.16.1_1/full/250,/0/default.jpg",Joseph Ball,Christian Gullager,1798,Men,
7,https://collections.si.edu/search/detail/edanmdm:saam_2006.12.2,SAAM,edanmdm:saam_2006.12.2,The Wiley Family,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Diane and Norman Bernstein""}","{""Date"": ""1771""}","{""Object number"": ""2006.12.2""}","{""Artist"": ""William Williams, born Bristol, England 1727-died Bristol, England 1791"", ""Sitter"": ""John Wiley""}","{""Gallery Label"": ""The Wiley family owned the largest distillery in New York City during the years surrounding the Revolutionary War. John Wiley, depicted in this group portrait with his mother and sisters, took over the distillery business after his father\u2019s death and became a successful merchant in his own right, operating a fleet of commercial ships. His older sister, elegantly dressed for the occasion, holds on her arm a tame squirrel-- a symbol of her decorum and her suitability for marriage. The younger daughter, like many teenage girls, looks as though she\u2019d rather be anywhere but with her family. In the distance is a fanciful view of lower Manhattan. The presentation of colonial life as prosperous and idyllic reminds us of how eager the family was to see themselves as old world aristocrats in a new world setting.""}","{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""36 x 47 1/2 in. (91.4 x 120.7 cm)""}",,,"{""Topic"": ""Landscape\\river\nPortrait group\\family\nObject\\flower\nObject\\written matter\\book\nArchitecture Exterior\\industry\\windmill\nArchitecture Exterior\\detail\\wall\nPortrait male\\full length""}","[""1770s""]","[""Wiley, John"", ""Williams, William""]","[""Paintings""]",,"[""Landscapes"", ""Industrialization"", ""Books and reading"", ""Wall"", ""Architecture"", ""Men"", ""Portraits"", ""Family"", ""Windmill"", ""Rivers"", ""Flowers"", ""Detail""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.2_1""]","https://ids.si.edu/ids/iiif/SAAM-2006.12.2_1/full/250,/0/default.jpg",John Wiley,William Williams,1771,Men,
8,https://collections.si.edu/search/detail/edanmdm:saam_2006.12.1,SAAM,edanmdm:saam_2006.12.1,Robert Hooper,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Diane and Norman Bernstein""}","{""Date"": ""ca. 1770-1772""}","{""Object number"": ""2006.12.1""}","{""Artist"": ""John Singleton Copley, born Boston, MA 1738-died 1815 London, England"", ""Sitter"": ""Jr. Robert Hooper""}","{""Gallery Label"": ""Mr. Hooper was the son of Robert King Hooper, who owned a fishing fleet that worked out of Marblehead, Massachusetts. The younger man already sports the rotund physique that Copley had captured in a portrait of Hooper's father years earlier. Behind him, the sea, visible through an open window, recalls the source of his family\u2019s riches. Robert had graduated from Harvard in 1763, and Copley's painting shows him settling into the comfortable life of a merchant prince.\nCopley owed his living to this new class, whose wealth supported the artists, writers, and educators of the colonies. He had joined the elite not long before, through his marriage to Susanna Clarke, daughter of a prominent Boston merchant. The union literally moved Copley up in the world, where he and \""Sukey\"" bought property on Beacon Hill, above downtown Boston.Exhibition Label, Smithsonian American Art Museum, 2006""}","{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""50 x 40 in. (127.0 x 101.6 cm)""}",,,"{""Topic"": ""Occupation\\industry\\fishing\nPortrait male""}","[""1770s""]","[""Copley, John Singleton"", ""Hooper, Robert, Jr.""]","[""Paintings""]",,"[""Industrialization"", ""Occupations"", ""Men"", ""Portraits"", ""Fishing""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.1_1""]","https://ids.si.edu/ids/iiif/SAAM-2006.12.1_1/full/250,/0/default.jpg",Jr. Robert Hooper,John Singleton Copley,1770,Men,
9,https://collections.si.edu/search/detail/edanmdm:saam_1999.87.7A,SAAM,edanmdm:saam_1999.87.7A,Col. Nathaniel Darby,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Natalie Brooks Sears Shippen and William Brush Shippen""}","{""Date"": ""ca. 1798""}","{""Object number"": ""1999.87.7A""}","{""Artist"": ""Unidentified"", ""Sitter"": ""Col. Nathaniel Darby""}","{""Luce Center Label"": ""It is not always possible to identify the sitter in a miniature portrait, and research is still being done on some of the works in the Museum\u2019s collection. Miniatures became popular in England during the early 1700s, commissioned by wealthy families on the occasions of births, engagements, weddings, and bereavements. These paintings, elaborately set into lockets or brooches, provided the wearer with a sentimental connection to a loved one. The back of the miniature often revealed a lock of the sitter\u2019s hair, symbolizing affection, commitment, or loss. The daguerreotype, invented in 1839, provided a cheaper, faster alternative, and portrait miniatures grew less popular. At the turn of the twentieth century, with the establishment of the American Society of Miniature Painters, miniatures enjoyed a brief revival.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""sight 2 x 1 5/8 in. (5.1 x 4.0 cm) oval""}",,,"{""Topic"": ""Occupation\\military\\colonel\nPortrait male\\bust""}","[""1790s""]","[""Darby, Nathaniel, Col.""]","[""Paintings""]",,"[""Occupations"", ""Colonel"", ""Men"", ""Portraits"", ""Military""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.7A_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.87.7A_1/full/250,/0/default.jpg",Col. Nathaniel Darby,Unidentified,1798,Men,
