Unnamed: 0,collectionsURL,unitCode,EDANurl,title,creditLine,date,identifier,name,notes,objectType,physicalDescription,place,publisher,topic,indexed_dates,indexed_names,indexed_object_types,indexed_places,indexed_topics,mediaCount,mediaURLs,thumbnail,Sitter,Artist,Clean_Date,Gender,Occupation
0,https://collections.si.edu/search/detail/edanmdm:saam_XX108A,SAAM,edanmdm:saam_XX108A,George Washington,"{""Credit Line"": ""Smithsonian American Art Museum, Transfer from the U.S. Department of the Interior through the General Services Administration""}","{""Date"": ""1803?""}","{""Object number"": ""XX108A""}","{""Attributed to"": ""William Winstanley, born England, active 1775-1806"", ""Sitter"": ""George Washington""}",,"{""Type"": ""Painting""}","{""Medium"": ""oil on canvas"", ""Dimensions"": ""30 1/2 x 25 1/4 in. (77.4 x 64.2 cm.)""}",,,"{""Topic"": ""Occupation\\political\\president\nPortrait male""}","[""1800s""]","[""Washington, George"", ""Winstanley, William""]","[""Paintings""]",,"[""Occupations"", ""Men"", ""Portraits"", ""Political"", ""Presidents""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-XX108A_1""]","https://ids.si.edu/ids/iiif/SAAM-XX108A_1/full/250,/0/default.jpg",George Washington,William Winstanley,1803,Men,
3,https://collections.si.edu/search/detail/edanmdm:saam_2014.29.1,SAAM,edanmdm:saam_2014.29.1,Thomas Jefferson Presidential Inaugural Medal,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of the James F. Dicke Family""}","{""Date"": ""1801""}","{""Object number"": ""2014.29.1""}","{""Engraver"": ""John Reich, born Furth, Germany 1768-died Albany, NY 1833"", ""Sitter"": ""Thomas Jefferson""}",,"{""Type"": ""Sculpture-Medal""}","{""Medium"": ""silver"", ""Dimensions"": ""1 3/4 in. (4.6 cm) diam.""}",,,"{""Topic"": ""Portrait male\\bust\nOccupation\\political\\president""}","[""1800s""]","[""Jefferson, Thomas"", ""Reich, John""]","[""Sculpture""]",,"[""Occupations"", ""Men"", ""Portraits"", ""Political"", ""Presidents""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-2014.29.1_1""]","https://ids.si.edu/ids/iiif/SAAM-2014.29.1_1/full/250,/0/default.jpg",Thomas Jefferson,John Reich,1801,Men,
23,https://collections.si.edu/search/detail/edanmdm:saam_1999.27.58,SAAM,edanmdm:saam_1999.27.58,John Quincy Adams,"{""Credit Line"": ""Smithsonian American Art Museum, Bequest of Mary Elizabeth Spencer""}","{""Date"": ""early 19th century""}","{""Object number"": ""1999.27.58""}","{""Artist"": ""Unidentified"", ""Sitter"": ""John Quincy Adams""}","{""Luce Center Label"": ""Son of John and Abigail Adams, John Quincy Adams grew up ambitious and educated. At ten he accompanied his father to Europe on a diplomatic mission. He practiced law in Boston, and in 1825 became the sixth president of the United States. In 1830 he was elected to the House of Representatives and earned the nickname \u201cOld Man Eloquent\u201d for his support of the arts and sciences. He was also known for his opposition to slavery, and fought for several years to repeal the \u201cgag rule\u201d that prevented Congress from accepting antislavery petitions. His political career came to an end in 1848 when he collapsed on the floor of the House from a stroke. He died two days later and was buried at First Parish Church in Quincy, Massachusetts. This early-nineteenth-century miniature depicts Adams many years before his death. His arched brow and intense gaze reflect the intelligence and motivation that shaped a successful political career.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""enamel on porcelain"", ""Dimensions"": ""image: 7/8 x 3/4 in. (2.2 x 1.9 cm)""}",,,"{""Topic"": ""Portrait male\\bust""}","[""1800s"", ""1850s""]","[""Adams, John Quincy""]","[""Paintings""]",,"[""Men"", ""Portraits""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.58_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.27.58_1/full/250,/0/default.jpg",John Quincy Adams,Unidentified,19,Men,
29,https://collections.si.edu/search/detail/edanmdm:saam_1999.27.41,SAAM,edanmdm:saam_1999.27.41,Major-General Anthony Wayne,"{""Credit Line"": ""Smithsonian American Art Museum, Bequest of Mary Elizabeth Spencer""}","{""Date"": ""ca. 1795""}","{""Object number"": ""1999.27.41""}","{""Artist"": ""James Peale, born Chestertown, MD 1749-died Philadelphia, PA 1831"", ""Sitter"": ""Anthony Wayne""}","{""Luce Center Label"": ""\u201cMad Anthony\u201d Wayne (1745-1796) was one of the most colorful figures of the American Revolution. His early training as a surveyor came in handy as he guided his troops during the Valley Forge campaign. Following the surrender of Cornwallis at Yorktown, Washington sent Wayne into South Carolina to chase the British out, after which he was promoted to major general. He returned home in 1783 and reentered the Pennsylvania legislature, where he had served until 1775. When Washington appointed him commander in chief of the United States Army, Wayne turned to fighting Indian tribes along the Great Lakes, finally achieving peace with the Treaty of Greenville in 1795 before retiring from military service. He chose to be depicted in this miniature in his uniform at the rank of major general, probably as he reentered the legislature.""}","{""Type"": ""Painting-Miniature""}","{""Medium"": ""watercolor on ivory"", ""Dimensions"": ""image (oval): 1 3/4 x 1 3/8 in. (4.5 x 3.4 cm)""}",,,"{""Topic"": ""Dress\\uniform\\military uniform\nOccupation\\military\\general\nPortrait male\\bust""}","[""1790s""]","[""Peale, James"", ""Wayne, Anthony""]","[""Paintings""]",,"[""Uniforms"", ""Occupations"", ""Clothing and dress"", ""Men"", ""Portraits"", ""Military""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.41_1""]","https://ids.si.edu/ids/iiif/SAAM-1999.27.41_1/full/250,/0/default.jpg",Anthony Wayne,James Peale,1795,Men,
97,https://collections.si.edu/search/detail/edanmdm:saam_1971.111,SAAM,edanmdm:saam_1971.111,Mourning Piece for George Washington,"{""Credit Line"": ""Smithsonian American Art Museum, Museum purchase""}","{""Date"": ""1810""}","{""Object number"": ""1971.111""}","{""Artist"": ""Enoch G. Gridley, active 1803-1818"", ""Sitter"": ""George Washington""}",,"{""Type"": ""Graphic Arts-Print""}","{""Medium"": ""engraving on paper"", ""Dimensions"": ""image: 13 1/8 x 8 3/4 in. (33.3 x 22.2 cm)""}",,,"{""Topic"": ""Occupation\\military\\soldier\nPortrait male\\bust\nMonument\\memorial\\Washington""}","[""1810s""]","[""Washington, George"", ""Gridley, Enoch G.""]","[""Graphic arts""]","[""Washington""]","[""Soldiers"", ""Memorials"", ""Occupations"", ""Men"", ""Monuments"", ""Portraits"", ""Military""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1971.111_1""]","https://ids.si.edu/ids/iiif/SAAM-1971.111_1/full/250,/0/default.jpg",George Washington,Enoch G. Gridley,1810,Men,
98,https://collections.si.edu/search/detail/edanmdm:saam_1971.102,SAAM,edanmdm:saam_1971.102,George Washington,"{""Credit Line"": ""Smithsonian American Art Museum, Gift of Michael J. Deutch""}","{""Date"": ""ca. 1800-1825""}","{""Object number"": ""1971.102""}","{""Publisher"": ""H. Fiquet, n.d."", ""Copy after"": ""John Trumbull, born Lebanon, CT 1756-died New York City 1843"", ""Sitter"": ""George Washington""}",,"{""Type"": ""Graphic Arts-Print""}","{""Medium"": ""color lithograph"", ""Dimensions"": ""plate: 20 x 12 in. (50.8 x 30.5 cm)""}",,,"{""Topic"": ""Landscape\nAnimal\\horse\nFigure male\\knee length\nDress\\uniform\\military uniform\nOccupation\\military\\general\nPortrait male\\full length""}","[""1800s"", ""1820s""]","[""Washington, George"", ""Fiquet, H."", ""Trumbull, John""]","[""Graphic arts""]",,"[""Uniforms"", ""Landscapes"", ""Animals"", ""Occupations"", ""Clothing and dress"", ""Men"", ""Horses"", ""Figure male"", ""Portraits"", ""Military""]",1,"[""https://ids.si.edu/ids/deliveryService?id=SAAM-1971.102_1""]","https://ids.si.edu/ids/iiif/SAAM-1971.102_1/full/250,/0/default.jpg",George Washington,,1800,Men,
214,https://collections.si.edu/search/detail/edanmdm:npg_S_NPG.87.222,NPG,edanmdm:npg_S_NPG.87.222,Benjamin Franklin,"{""Credit Line"": ""National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum""}","{""Date"": ""1782""}","{""Object number"": ""S/NPG.87.222""}","{""Artist"": ""J. Pelicier, active 1780 - 1790"", ""Sitter"": ""Benjamin Franklin, 17 Jan 1706 - 17 Apr 1790""}",,"{""Type"": ""Print""}","{""Medium"": ""Engraving on paper"", ""Dimensions"": ""Image: 8.2 \u00d7 6 cm (3 1/4 \u00d7 2 3/8\"")\nSheet: 25.5 \u00d7 18 cm (10 1/16 \u00d7 7 1/16\"")""}",,,"{""Topic"": ""Printed Material\\Map\nNature & Environment\\Plant\\Wreath\nNature & Environment\\Animal\\Bird\\Eagle\nNature & Environment\\Lightning\nCostume\\Dress Accessory\\Fur trim\nBenjamin Franklin: Male\nBenjamin Franklin: Arts and Culture\\Literature\\Writer\nBenjamin Franklin: Politics and Government\\Statesman\\Colonial statesman\nBenjamin Franklin: Politics and Government\\Government official\\Congressman\\Continental congressman\nBenjamin Franklin: Politics and Government\\Statesman\\Colonial statesman\\Signer of Declaration\nBenjamin Franklin: Science and Technology\\Scientist\nBenjamin Franklin: Politics and Government\\Diplomat\nBenjamin Franklin: Social Welfare and Reform\\Philanthropist\nBenjamin Franklin: Science and Technology\\Inventor\nBenjamin Franklin: Business and Finance\\Tradesman\\Printer\nBenjamin Franklin: Politics and Government\\Government official\\Postmaster\nPortrait""}","[""1780s""]","[""Franklin, Benjamin"", ""Pelicier, J.""]","[""Maps"", ""Prints""]",,"[""Social Welfare and Reform"", ""Business and Finance"", ""Legislators"", ""Arts and Culture"", ""Writers"", ""Dress accessories"", ""Eagles"", ""Printer"", ""Printed Material"", ""Colonial statesman"", ""Statesman"", ""Signer of Declaration"", ""Public officers"", ""Diplomats"", ""Nature"", ""Wreath"", ""Literature"", ""Congressmen"", ""Government"", ""Diplomacy"", ""Birds"", ""Portraits"", ""Ecology"", ""Plants"", ""Tradesman"", ""Continental congressman"", ""Science and Technology"", ""Fur trim"", ""Animals"", ""Inventors"", ""Lightning"", ""Costume"", ""Men"", ""Philanthropists"", ""Politics"", ""Scientists"", ""Postmasters""]",1,"[""https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_87_222""]","https://ids.si.edu/ids/iiif/NPG-S_NPG_87_222/full/250,/0/default.jpg",Benjamin Franklin,J. Pelicier,1782,men,Writers
215,https://collections.si.edu/search/detail/edanmdm:npg_S_NPG.86.63,NPG,edanmdm:npg_S_NPG.86.63,Marquis De Lafayette,"{""Credit Line"": ""National Portrait Gallery, Smithsonian Institution""}","{""Date"": ""c. 1815""}","{""Object number"": ""S/NPG.86.63""}","{""Artist"": ""Unidentified Artist"", ""Sitter"": ""Marquis de Lafayette, 6 Sep 1757 - 20 May 1834""}",,"{""Type"": ""Print""}","{""Medium"": ""Lithograph on paper"", ""Dimensions"": ""Image: 23.9 \u00d7 24.1 cm (9 7/16 \u00d7 9 1/2\"")\nSheet: 34.1 \u00d7 25.9 cm (13 7/16 \u00d7 10 3/16\"")\nMat: 55.9 \u00d7 40.7 cm (22 \u00d7 16\"")""}",,,"{""Topic"": ""Marquis de Lafayette: Male\nMarquis de Lafayette: Military and Intelligence\\Army\\Officer\nMarquis de Lafayette: Military and Intelligence\\Army\\Officer\\Revolutionary War\nPortrait""}","[""1810s"", ""1820s""]","[""United States. Army"", ""Lafayette""]","[""Prints""]",,"[""Military and Intelligence"", ""Men"", ""Portraits"", ""American Revolution (1775-1783)"", ""Officer""]",1,"[""https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_86_63Lafayette-000001""]","https://ids.si.edu/ids/iiif/NPG-S_NPG_86_63Lafayette-000001/full/250,/0/default.jpg",Marquis de Lafayette,Unidentified Artist,1815,Men,
216,https://collections.si.edu/search/detail/edanmdm:npg_S_NPG.85.297,NPG,edanmdm:npg_S_NPG.85.297,George Washington,"{""Credit Line"": ""National Portrait Gallery, Smithsonian Institution; gift of Marvin Sadik""}","{""Date"": ""1796""}","{""Object number"": ""S/NPG.85.297""}","{""Artist"": ""Louis Charles Ruotte, 1754 - 1806"", ""Copy after"": ""Francois Bonneville\nPierre Eug\u00e8ne Du Simiti\u00e8re, c. 1736 - 1784"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}",,"{""Type"": ""Print""}","{""Medium"": ""Engraving on paper"", ""Dimensions"": ""Image: 10.3 \u00d7 8.5 cm (4 1/16 \u00d7 3 3/8\"")\nSheet: 24.7 \u00d7 18.3 cm (9 3/4 \u00d7 7 3/16\"")""}",,,"{""Topic"": ""Costume\\Dress Accessory\\Epaulet\nIllustration\nTassel\nGeorge Washington: Male\nGeorge Washington: Military and Intelligence\\Army\\Officer\\Revolutionary War\nGeorge Washington: Politics and Government\\Statesman\\Colonial statesman\nGeorge Washington: Business and Finance\\Natural resources commerce\\Agriculturist\\Farmer\nGeorge Washington: Military and Intelligence\\Army\\Officer\\General\nGeorge Washington: Politics and Government\\Government official\\President of US\nGeorge Washington: Science and Technology\\Surveyor\nGeorge Washington: Civilian awards\\Congressional Gold Medal\nPortrait""}","[""1790s""]","[""Du Simitiere, Pierre Eugene"", ""United States. Army"", ""Ruotte, Louis Charles"", ""Washington, George"", ""Bonneville, Francois""]","[""Prints""]","[""United States""]","[""Business and Finance"", ""Congressional Gold Medal"", ""Farmers"", ""Illustration"", ""Government"", ""Natural resources commerce"", ""Dress accessories"", ""Portraits"", ""Civilian awards"", ""Science and Technology"", ""Colonial statesman"", ""Agriculturists"", ""Statesman"", ""Surveyors"", ""Costume"", ""Military and Intelligence"", ""Tassel"", ""Men"", ""American Revolution (1775-1783)"", ""Public officers"", ""Politics"", ""Presidents"", ""Officer""]",1,"[""https://ids.si.edu/ids/deliveryService?id=NPG-S-NPG_85_297""]","https://ids.si.edu/ids/iiif/NPG-S-NPG_85_297/full/250,/0/default.jpg",George Washington,Louis Charles Ruotte,1796,men,
219,https://collections.si.edu/search/detail/edanmdm:npg_S_NPG.82.42,NPG,edanmdm:npg_S_NPG.82.42,George Washington,"{""Credit Line"": ""National Portrait Gallery, Smithsonian Institution""}","{""Date"": ""c. 1775-80""}","{""Object number"": ""S/NPG.82.42""}","{""Artist"": ""Johann Gottlieb Schmidt, 1742 - 1800"", ""Copy after"": ""Unidentified Artist"", ""Sitter"": ""George Washington, 22 Feb 1732 - 14 Dec 1799""}",,"{""Type"": ""Art Implement""}","{""Medium"": ""Copper plate"", ""Dimensions"": ""Image: 15 \u00d7 10.3 cm (5 7/8 \u00d7 4 1/16\"")\nPlate: 19.4 \u00d7 14.2 cm (7 5/8 \u00d7 5 9/16\"")""}",,,"{""Topic"": ""Costume\\Headgear\\Hat\\Tricorne\nCostume\\Dress Accessory\\Epaulet\nCostume\\Dress Accessory\\Feather\nNature & Environment\\Olive branch\nPrinting surface\\Printing plate\nGeorge Washington: Male\nGeorge Washington: Military and Intelligence\\Army\\Officer\\Revolutionary War\nGeorge Washington: Politics and Government\\Statesman\\Colonial statesman\nGeorge Washington: Business and Finance\\Natural resources commerce\\Agriculturist\\Farmer\nGeorge Washington: Military and Intelligence\\Army\\Officer\\General\nGeorge Washington: Politics and Government\\Government official\\President of US\nGeorge Washington: Science and Technology\\Surveyor\nGeorge Washington: Civilian awards\\Congressional Gold Medal\nPortrait""}","[""1770s"", ""1780s""]","[""Schmidt, Johann Gottlieb"", ""United States. Army"", ""Washington, George""]","[""Artists' materials""]","[""United States""]","[""Business and Finance"", ""Natural resources commerce"", ""Dress accessories"", ""Colonial statesman"", ""Statesman"", ""Printing plate"", ""Military and Intelligence"", ""Feather"", ""American Revolution (1775-1783)"", ""Public officers"", ""Presidents"", ""Nature"", ""Printing surface"", ""Congressional Gold Medal"", ""Olive branch"", ""Farmers"", ""Government"", ""Portraits"", ""Ecology"", ""Civilian awards"", ""Headgear"", ""Tricorne"", ""Science and Technology"", ""Agriculturists"", ""Surveyors"", ""Costume"", ""Men"", ""Hats"", ""Politics"", ""Officer""]",1,"[""https://ids.si.edu/ids/deliveryService?id=NPG-S-NPG_82_42""]","https://ids.si.edu/ids/iiif/NPG-S-NPG_82_42/full/250,/0/default.jpg",George Washington,Johann Gottlieb Schmidt,1775,men,
